epoch	iso_utc	elapsed_s	gpu	name	util_pct	mem_used_mb	mem_total_mb	ours	ctrl_alive	trials	champion
1787340489.068	2026-08-21T19:28:09Z	41405	0	NVIDIA H200	98	9691	143771	yes	alive	152	0.967286
1787340489.068	2026-08-21T19:28:09Z	41405	1	NVIDIA H200	20	1140	143771	no	alive	152	0.967286
1787340489.068	2026-08-21T19:28:09Z	41405	2	NVIDIA H200	21	1140	143771	no	alive	152	0.967286
1787340489.068	2026-08-21T19:28:09Z	41405	3	NVIDIA H200	21	2229	143771	no	alive	152	0.967286
1787340489.068	2026-08-21T19:28:09Z	41405	4	NVIDIA H200	100	25002	143771	no	alive	152	0.967286
1787340489.068	2026-08-21T19:28:09Z	41405	5	NVIDIA H200	99	5853	143771	no	alive	152	0.967286
1787340489.068	2026-08-21T19:28:09Z	41405	6	NVIDIA H200	21	1140	143771	no	alive	152	0.967286
1787340489.068	2026-08-21T19:28:09Z	41405	7	NVIDIA H200	21	1356	143771	no	alive	152	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	0	NVIDIA H200	99	12027	143771	yes	alive	154	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	1	NVIDIA H200	20	1140	143771	no	alive	154	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	2	NVIDIA H200	18	1140	143771	no	alive	154	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	3	NVIDIA H200	18	2229	143771	no	alive	154	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	4	NVIDIA H200	100	25002	143771	no	alive	154	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	5	NVIDIA H200	99	5853	143771	no	alive	154	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	6	NVIDIA H200	21	1140	143771	no	alive	154	0.967286
1787342289.276	2026-08-21T19:58:09Z	43205	7	NVIDIA H200	0	4	143771	no	alive	154	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	0	NVIDIA H200	0	2187	143771	yes	alive	157	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	1	NVIDIA H200	19	1140	143771	no	alive	157	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	2	NVIDIA H200	17	1140	143771	no	alive	157	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	3	NVIDIA H200	17	2229	143771	no	alive	157	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	4	NVIDIA H200	100	25001	143771	no	alive	157	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	5	NVIDIA H200	14	1140	143771	no	alive	157	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	6	NVIDIA H200	14	1140	143771	no	alive	157	0.967286
1787344089.491	2026-08-21T20:28:09Z	45005	7	NVIDIA H200	0	4	143771	no	alive	157	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	0	NVIDIA H200	99	9691	143771	yes	alive	159	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	1	NVIDIA H200	15	1140	143771	no	alive	159	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	2	NVIDIA H200	14	1140	143771	no	alive	159	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	3	NVIDIA H200	14	2229	143771	no	alive	159	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	4	NVIDIA H200	100	25002	143771	no	alive	159	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	5	NVIDIA H200	14	1140	143771	no	alive	159	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	6	NVIDIA H200	13	1236	143771	no	alive	159	0.967286
1787345889.706	2026-08-21T20:58:09Z	46805	7	NVIDIA H200	0	4	143771	no	alive	159	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	0	NVIDIA H200	99	9705	143771	yes	alive	161	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	1	NVIDIA H200	15	1236	143771	no	alive	161	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	2	NVIDIA H200	15	1236	143771	no	alive	161	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	3	NVIDIA H200	13	2325	143771	no	alive	161	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	4	NVIDIA H200	100	25002	143771	no	alive	161	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	5	NVIDIA H200	15	1236	143771	no	alive	161	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	6	NVIDIA H200	15	1356	143771	no	alive	161	0.967286
1787347689.939	2026-08-21T21:28:09Z	48605	7	NVIDIA H200	0	4	143771	no	alive	161	0.967286
1787349490.165	2026-08-21T21:58:10Z	50406	0	NVIDIA H200	99	12035	143771	yes	alive	163	0.967286
1787349490.165	2026-08-21T21:58:10Z	50406	1	NVIDIA H200	15	1356	143771	no	alive	163	0.967286
1787349490.165	2026-08-21T21:58:10Z	50406	2	NVIDIA H200	15	1356	143771	no	alive	163	0.967286
1787349490.165	2026-08-21T21:58:10Z	50406	3	NVIDIA H200	14	2445	143771	no	alive	163	0.967286
